"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","1009.3 ","1019.3 ","22.9 ","17.9 ","73 ","0.5 ","90.0 ","1.9 ","80.0 ","0.0 ","0.0 "," ","0.00 "," "
"2","1008.8 ","1018.8 ","22.7 ","17.8 ","74 ","0.7 ","170.0 ","2.0 ","160.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"3","1008.5 ","1018.5 ","22.8 ","17.9 ","74 ","0.3 ","210.0 ","2.5 ","230.0 ","0.0 ","0.0 "," ","0.00 "," "
"4","1008.4 ","1018.4 ","22.7 ","18.0 ","75 ","0.3 ","150.0 ","2.0 ","130.0 ","0.0 ","0.0 "," ","0.00 "," "
"5","1008.5 ","1018.5 ","22.7 ","18.0 ","75 ","0.1 ","0.0 ","1.7 ","140.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"6","1009.2 ","1019.2 ","22.8 ","18.2 ","75 ","0.8 ","220.0 ","1.6 ","210.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"7","1009.8 ","1019.8 ","23.1 ","18.5 ","75 ","0.6 ","240.0 ","1.8 ","240.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"8","1010.3 ","1020.3 ","23.5 ","18.6 ","74 ","0.4 ","270.0 ","1.9 ","250.0 ","0.0 ","0.0 ","0.0 ","0.00 ","10.0 "
"9","1010.5 ","1020.5 ","24.2 ","18.9 ","72 ","0.6 ","330.0 ","2.7 ","350.0 ","0.0 ","0.0 ","0.0 ","0.43 ","10.0 "
"10","1010.4 ","1020.3 ","25.0 ","19.6 ","72 ","0.2 ","0.0 ","1.7 ","10.0 ","0.0 ","0.0 ","0.0 ","0.80 "," "
"11","1009.7 ","1019.6 ","25.6 ","19.7 ","70 ","0.2 ","0.0 ","1.9 ","330.0 ","0.0 ","0.0 ","0.0 ","0.69 ","10.0 "
"12","1009.4 ","1019.3 ","25.7 ","19.8 ","70 ","1.7 ","290.0 ","3.8 ","340.0 ","0.0 ","0.0 ","0.0 ","0.60 "," "
"13","1008.7 ","1018.6 ","25.7 ","19.5 ","69 ","2.6 ","340.0 ","4.8 ","360.0 ","0.0 ","0.0 ","0.0 ","0.81 "," "
"14","1008.3 ","1018.2 ","25.3 ","18.9 ","68 ","2.0 ","340.0 ","5.2 ","350.0 ","0.0 ","0.0 ","0.0 ","0.60 ","10.0 "
"15","1008.2 ","1018.1 ","25.3 ","19.4 ","70 ","1.5 ","320.0 ","4.6 ","360.0 ","0.0 ","0.0 ","0.0 ","0.60 "," "
"16","1008.2 ","1018.1 ","24.8 ","19.8 ","74 ","1.5 ","340.0 ","5.5 ","320.0 ","0.0 ","0.0 ","0.0 ","0.54 "," "
"17","1008.2 ","1018.1 ","24.3 ","19.2 ","73 ","2.7 ","350.0 ","6.5 ","330.0 ","0.0 ","0.0 ","0.0 ","0.19 ","10.0 "
"18","1008.5 ","1018.4 ","24.4 ","19.0 ","72 ","1.3 ","10.0 ","6.2 ","360.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"19","1008.8 ","1018.8 ","23.1 ","18.7 ","76 ","2.0 ","320.0 ","4.8 ","340.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"20","1009.1 ","1019.1 ","23.0 ","18.4 ","75 ","1.5 ","320.0 ","5.3 ","330.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"21","1009.1 ","1019.1 ","22.5 ","18.1 ","76 ","2.5 ","340.0 ","5.5 ","350.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"22","1009.2 ","1019.2 ","22.7 ","17.9 ","74 ","1.7 ","360.0 ","5.2 ","340.0 ","0.0 ","0.0 "," ","0.00 "," "
"23","1009.0 ","1019.0 ","22.1 ","18.0 ","78 ","0.3 ","10.0 ","2.8 ","40.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"24","1008.9 ","1018.9 ","22.1 ","17.8 ","77 ","0.8 ","340.0 ","3.1 ","320.0 ","0.0 ","0.0 "," ","0.00 "," "
