"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","1018.9 ","1021.2 ","21.3 ","20.8 ","97 ","3.2 ","360.0 ","7.1 ","10.0 ","2.5 ","1.0 "," ","0.00 "," "
"2","1018.4 ","1020.7 ","21.2 ","20.7 ","97 ","3.4 ","340.0 ","7.3 ","20.0 ","1.5 ","1.0 "," ","0.00 ","6.0 "
"3","1017.7 ","1020.0 ","21.3 ","20.8 ","97 ","3.1 ","330.0 ","4.2 ","330.0 ","3.0 ","1.0 "," ","0.00 "," "
"4","1017.4 ","1019.7 ","21.4 ","20.7 ","96 ","3.0 ","350.0 ","5.7 ","340.0 ","0.5 ","1.0 "," ","0.00 "," "
"5","1017.9 ","1020.2 ","21.4 ","20.9 ","97 ","2.5 ","350.0 ","4.7 ","350.0 ","3.5 ","1.0 "," ","0.00 ","6.0 "
"6","1018.3 ","1020.6 ","21.2 ","20.7 ","97 ","3.2 ","350.0 ","5.8 ","360.0 ","6.5 ","1.0 ","0.0 ","0.00 "," "
"7","1018.7 ","1021.0 ","21.3 ","21.0 ","98 ","2.2 ","330.0 ","4.3 ","360.0 ","8.0 ","1.0 ","0.0 ","0.00 "," "
"8","1019.3 ","1021.6 ","21.2 ","21.0 ","99 ","2.8 ","340.0 ","3.9 ","340.0 ","6.5 ","1.0 ","0.0 ","0.00 ","6.0 "
"9","1019.9 ","1022.2 ","21.3 ","21.0 ","98 ","3.0 ","340.0 ","4.6 ","330.0 ","7.0 ","1.0 ","0.0 ","0.00 ","6.0 "
"10","1019.5 ","1021.8 ","21.3 ","21.0 ","98 ","3.6 ","350.0 ","6.6 ","350.0 ","8.0 ","1.0 ","0.0 ","0.00 "," "
"11","1018.7 ","1021.0 ","21.6 ","21.2 ","98 ","4.3 ","340.0 ","7.2 ","340.0 ","2.0 ","1.0 ","0.0 ","0.08 ","6.0 "
"12","1018.1 ","1020.4 ","21.9 ","21.7 ","99 ","3.1 ","350.0 ","6.1 ","340.0 ","0.5 ","0.8 ","0.0 ","0.51 "," "
"13","1017.3 ","1019.6 ","22.1 ","21.5 ","96 ","2.8 ","20.0 ","5.4 ","20.0 ","T ","0.1 ","0.0 ","0.60 "," "
"14","1017.0 ","1019.3 ","22.1 ","21.3 ","95 ","3.2 ","10.0 ","5.6 ","10.0 ","T ","1.0 ","0.0 ","0.16 ","6.0 "
"15","1017.1 ","1019.4 ","22.0 ","21.4 ","96 ","2.8 ","360.0 ","5.7 ","360.0 ","0.5 ","1.0 ","0.0 ","0.41 "," "
"16","1017.1 ","1019.4 ","22.1 ","21.4 ","96 ","3.2 ","10.0 ","6.3 ","350.0 ","T ","0.5 ","0.0 ","0.00 "," "
"17","1017.3 ","1019.6 ","22.3 ","21.2 ","93 ","2.7 ","10.0 ","5.7 ","10.0 ","T ","0.4 ","0.0 ","0.00 ","10.0 "
"18","1017.4 ","1019.6 ","22.4 ","21.2 ","93 ","2.4 ","30.0 ","4.8 ","50.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"19","1018.1 ","1020.4 ","22.0 ","21.0 ","94 ","2.8 ","10.0 ","7.0 ","20.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"20","1018.6 ","1020.9 ","21.8 ","20.9 ","95 ","2.9 ","10.0 ","5.6 ","360.0 ","0.5 ","0.9 "," ","0.00 ","8.0 "
"21","1018.6 ","1020.9 ","22.0 ","21.2 ","95 ","0.9 ","300.0 ","4.6 ","10.0 ","0.5 ","1.0 "," ","0.00 ","8.0 "
"22","1018.6 ","1020.9 ","21.7 ","21.1 ","96 ","1.6 ","340.0 ","2.8 ","350.0 ","T ","1.0 "," ","0.00 "," "
"23","1018.6 ","1020.9 ","21.6 ","21.1 ","97 ","0.9 ","360.0 ","3.3 ","330.0 ","0.5 ","1.0 "," ","0.00 ","8.0 "
"24","1018.2 ","1020.5 ","21.6 ","21.1 ","97 ","2.0 ","340.0 ","3.1 ","360.0 ","T ","0.5 "," ","0.00 "," "
