"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","1018.7 ","1019.1 ","25.1 ","20.7 ","77 ","1.8 ","330.0 ","3.6 ","330.0 ","0.0 ","0.0 "," ","0.00 "," "
"2","1018.1 ","1018.5 ","24.4 ","19.8 ","76 ","2.2 ","360.0 ","5.2 ","340.0 ","0.0 ","0.0 "," ","0.00 ","8.0 "
"3","1017.6 ","1018.0 ","24.4 ","19.7 ","75 ","1.6 ","10.0 ","4.5 ","340.0 ","0.0 ","0.0 "," ","0.00 "," "
"4","1017.8 ","1018.2 ","24.6 ","19.4 ","73 ","2.4 ","350.0 ","4.7 ","340.0 ","0.0 ","0.0 "," ","0.00 "," "
"5","1018.1 ","1018.5 ","24.5 ","19.4 ","73 ","2.1 ","10.0 ","5.1 ","10.0 ","0.0 ","0.0 "," ","0.00 ","8.0 "
"6","1018.6 ","1019.0 ","24.4 ","19.8 ","76 ","2.3 ","30.0 ","4.6 ","20.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"7","1019.0 ","1019.4 ","24.8 ","19.8 ","74 ","2.7 ","30.0 ","5.3 ","30.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"8","1019.8 ","1020.2 ","24.8 ","20.4 ","77 ","0.5 ","60.0 ","3.7 ","20.0 ","0.0 ","0.0 ","0.0 ","0.00 ","5.0 "
"9","1019.9 ","1020.3 ","26.1 ","21.0 ","74 ","1.3 ","10.0 ","3.5 ","340.0 ","0.0 ","0.0 ","0.0 ","0.66 ","6.0 "
"10","1019.5 ","1019.9 ","26.3 ","20.8 ","72 ","1.4 ","10.0 ","3.3 ","20.0 ","0.0 ","0.0 ","0.0 ","0.77 "," "
"11","1019.2 ","1019.6 ","26.8 ","21.1 ","71 ","1.7 ","340.0 ","3.7 ","340.0 ","0.0 ","0.0 ","0.0 ","0.60 ","6.0 "
"12","1018.3 ","1018.7 ","27.7 ","21.4 ","69 ","2.0 ","360.0 ","4.4 ","330.0 ","0.0 ","0.0 ","0.0 ","1.03 "," "
"13","1017.3 ","1017.7 ","28.7 ","21.7 ","66 ","1.6 ","360.0 ","4.5 ","30.0 ","0.0 ","0.0 ","0.3 ","1.88 "," "
"14","1016.8 ","1017.2 ","28.5 ","22.1 ","68 ","3.3 ","320.0 ","6.3 ","320.0 ","0.0 ","0.0 ","0.2 ","1.59 ","7.0 "
"15","1016.5 ","1016.9 ","28.6 ","22.6 ","70 ","3.1 ","330.0 ","6.6 ","320.0 ","0.0 ","0.0 ","0.0 ","1.22 "," "
"16","1016.6 ","1017.0 ","28.4 ","22.6 ","71 ","3.2 ","340.0 ","6.4 ","330.0 ","0.0 ","0.0 ","0.3 ","0.83 "," "
"17","1016.9 ","1017.3 ","27.5 ","21.6 ","70 ","2.7 ","330.0 ","6.2 ","320.0 ","0.0 ","0.0 ","0.2 ","0.28 ","7.0 "
"18","1017.1 ","1017.5 ","27.0 ","21.3 ","71 ","2.2 ","340.0 ","5.4 ","330.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"19","1017.6 ","1018.0 ","26.7 ","21.3 ","72 ","2.1 ","360.0 ","5.0 ","20.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"20","1018.0 ","1018.4 ","25.9 ","20.8 ","74 ","2.0 ","10.0 ","6.0 ","350.0 ","0.0 ","0.0 "," ","0.00 ","7.0 "
"21","1018.1 ","1018.5 ","25.8 ","20.7 ","73 ","1.8 ","10.0 ","4.7 ","340.0 ","0.0 ","0.0 "," ","0.00 ","7.0 "
"22","1018.3 ","1018.7 ","25.5 ","20.7 ","75 ","1.6 ","20.0 ","3.9 ","20.0 ","0.0 ","0.0 "," ","0.00 "," "
"23","1018.2 ","1018.6 ","25.4 ","20.8 ","76 ","1.4 ","20.0 ","2.9 ","340.0 ","0.0 ","0.0 "," ","0.00 ","6.0 "
"24","1017.9 ","1018.3 ","25.1 ","20.7 ","77 ","1.1 ","360.0 ","2.7 ","20.0 ","0.0 ","0.0 "," ","0.00 "," "
